nombre,categoria_maps,telefono,telefono_norm,posible_celular,whatsapp_link,email,ciudad,calificacion,sitio_web,ecommerce,fuente,url_listing
Diatribuidora Mayorista Belardinelli,Mayorista,02227 42-1864,+542227421864,SI,https://wa.me/542227421864,,"Domingo Faustino Sarmiento 510, B7240 Lobos, Provincia de Buenos Aires",,,,GoogleMaps,https://www.google.com/maps/place/Diatribuidora+Mayorista+Belardinelli/data=!4m7!3m6!1s0x95bd07521115d871:0x46396208573f7e0e!8m2!3d-35.1908099!4d-59.093846!16s%2Fg%2F11q_chdn36!19sChIJcdgVEVIHvZURDn4_VwhiOUY?authuser=0&hl=es-419&rclk=1
Distribuidora De la tierra,Distribuidor de comestibles,011 3391-7527,+541133917527,SI,https://wa.me/541133917527,,"Posadas 993, B1704 Ramos Mejía, Provincia de Buenos Aires",,http://www.distribuidoradelatierra.com.ar/,,GoogleMaps,https://www.google.com/maps/place/Distribuidora+De+la+tierra/data=!4m7!3m6!1s0x95bcc933a1090187:0x38d17812dec65740!8m2!3d-34.6510815!4d-58.5342688!16s%2Fg%2F11h764kn2f!19sChIJhwEJoTPJvJURQFfG3hJ40Tg?authuser=0&hl=es-419&rclk=1
Distribuidora Graser,Servicio de distribución,011 4247-3152,+541142473152,SI,https://wa.me/541142473152,,"B1824 Lanús, Provincia de Buenos Aires",,http://www.graser.com.ar/,,GoogleMaps,https://www.google.com/maps/place/Distribuidora+Graser/data=!4m7!3m6!1s0x95bcccd8a3bf71c3:0xdffd305a33e87a41!8m2!3d-34.6984429!4d-58.3876616!16s%2Fg%2F1v9v02x8!19sChIJw3G_o9jMvJURQXroM1ow_d8?authuser=0&hl=es-419&rclk=1
FERREMAX DISTRIBUIDORA,Mayorista,,,,,,"Blvd. Armesti 3000, B1828 Banfield, Provincia de Buenos Aires",,,,GoogleMaps,https://www.google.com/maps/place/FERREMAX+DISTRIBUIDORA/data=!4m7!3m6!1s0x95a32d000e6be275:0xe6624230182fb27c!8m2!3d-34.7481188!4d-58.3614112!16s%2Fg%2F11vr8zyz2v!19sChIJdeJrDgAto5URfLIvGDBCYuY?authuser=0&hl=es-419&rclk=1
DIPA,Mayorista,0341 328-9361,+543413289361,SI,https://wa.me/543413289361,,"AO12 KM 5, S2003HRS Rosario, Santa Fe",,http://dipa.ar/,,GoogleMaps,https://www.google.com/maps/place/DIPA/data=!4m7!3m6!1s0x95b7ac9c6083cde5:0x91d1c7e72bc05a80!8m2!3d-33.091168!4d-60.6812252!16s%2Fg%2F1tjypxjl!19sChIJ5c2DYJyst5URgFrAK-fH0ZE?authuser=0&hl=es-419&rclk=1
DISTRIBUIDORA GALICIA,Distribuidor de comestibles,0220 482-7569,+542204827569,SI,https://wa.me/542204827569,,"Buenos Aires AR, Au Pres. Héctor José Cámpora 2215, B1722 CTS, Provincia de Buenos Aires",,http://www.facebook.com/distribuidoragalicia,,GoogleMaps,https://www.google.com/maps/place/DISTRIBUIDORA+GALICIA/data=!4m7!3m6!1s0x95bcbfe581d66aeb:0xbf62ecebb2698d32!8m2!3d-34.6635668!4d-58.7261271!16s%2Fg%2F11b76qc62d!19sChIJ62rWgeW_vJURMo1psuvsYr8?authuser=0&hl=es-419&rclk=1
Grow Sweet Grow - GSG Distribuidora,Mayorista,011 6863-5001,+541168635001,SI,https://wa.me/541168635001,,"BMG, Tte. Gral. Pablo Ricchieri 4543, B1702 Ciudadela, Provincia de Buenos Aires",,http://www.gsg.com.ar/,,GoogleMaps,https://www.google.com/maps/place/Grow+Sweet+Grow+-+GSG+Distribuidora/data=!4m7!3m6!1s0x95bcc976eec3ebf7:0x872fc29276e93a00!8m2!3d-34.6314708!4d-58.5535391!16s%2Fg%2F11k6lzp3dx!19sChIJ9-vD7nbJvJURADrpdpLCL4c?authuser=0&hl=es-419&rclk=1
Parodi SRL - Suc. Córdoba,Mayorista,0351 496-2621,+543514962621,SI,https://wa.me/543514962621,,Av. Circunvalación entre Malvinas y Av. Arturo Capdevila,,http://parodisrl.com.ar/,,GoogleMaps,https://www.google.com/maps/place/Parodi+SRL+-+Suc.+C%C3%B3rdoba/data=!4m7!3m6!1s0x943297ea5ee1c505:0x5bdbb1a1d3640eba!8m2!3d-31.3813841!4d-64.1259054!16s%2Fg%2F11b7ln6dy1!19sChIJBcXhXuqXMpQRug5k06Gx21s?authuser=0&hl=es-419&rclk=1
M y F Distribuidora S. A.,Oficinas de empresa,011 4736-2882,+541147362882,SI,https://wa.me/541147362882,,"Colectora Este Panamericana 1493, B1618 El Talar, Provincia de Buenos Aires",,,,GoogleMaps,https://www.google.com/maps/place/M+y+F+Distribuidora+S.+A./data=!4m7!3m6!1s0x95bca35d58ef8467:0x69da6a516fc1186!8m2!3d-34.4771555!4d-58.6547401!16s%2Fg%2F11g8760pfh!19sChIJZ4TvWF2jvJURhhH8FqWmnQY?authuser=0&hl=es-419&rclk=1
Distribuidor MAYORISTA TIZIANO,Servicio de distribución,011 5083-1453,+541150831453,SI,https://wa.me/541150831453,,"Av. República Argentina 3479, B1852JIJ Burzaco, Provincia de Buenos Aires",,,,GoogleMaps,https://www.google.com/maps/place/Distribuidor+MAYORISTA+TIZIANO/data=!4m7!3m6!1s0x95a32c9c1052ae75:0x46b713e51067d9d6!8m2!3d-34.8183497!4d-58.3653926!16s%2Fg%2F1tq4s7pz!19sChIJda5SEJwso5UR1tlnEOUTt0Y?authuser=0&hl=es-419&rclk=1
DISTRIBUIDORA MULTIMARCA S.A.,Establecimiento de depósito y venta,011 7540-7284,+541175407284,SI,https://wa.me/541175407284,,"Domingo Faustino Sarmiento 3644, B1678 Caseros, Provincia de Buenos Aires",,https://dmsa.com.ar/,,GoogleMaps,https://www.google.com/maps/place/DISTRIBUIDORA+MULTIMARCA+S.A./data=!4m7!3m6!1s0x95bcb816d6b43b01:0x397fbeffa7cd7b0d!8m2!3d-34.6166602!4d-58.566168!16s%2Fg%2F11gcz2c7yf!19sChIJATu01ha4vJURDXvNp_--fzk?authuser=0&hl=es-419&rclk=1
Distribuidora Vegana BsAs,Distribuidor de comestibles,011 6476-6520,+541164766520,SI,https://wa.me/541164766520,,"Melo 492, B1752 Lomas del Mirador, Provincia de Buenos Aires",,http://www.distribuidoraveganabsas.com.ar/,,GoogleMaps,https://www.google.com/maps/place/Distribuidora+Vegana+BsAs/data=!4m7!3m6!1s0x95bcc9765a321b4f:0x9b07ace504bfc727!8m2!3d-34.6629952!4d-58.5302123!16s%2Fg%2F11qprh8_xb!19sChIJTxsyWnbJvJURJ8e_BOWsB5s?authuser=0&hl=es-419&rclk=1
Distribuidora Argentina de Rodamientos Americo A Grieco,Proveedor de cojinetes,011 4918-0191,+541149180191,SI,https://wa.me/541149180191,,"Crespo 3083, C1437ASC Cdad. Autónoma de Buenos Aires",,,,GoogleMaps,https://www.google.com/maps/place/Distribuidora+Argentina+de+Rodamientos+Americo+A+Grieco/data=!4m7!3m6!1s0x95bccb99bec54d81:0xcfc99603e1236841!8m2!3d-34.6538672!4d-58.4272655!16s%2Fg%2F1hc2sf3_n!19sChIJgU3FvpnLvJURQWgj4QOWyc8?authuser=0&hl=es-419&rclk=1
Distribuidora Ruta 200,Mayorista,0220 482-2549,+542204822549,SI,https://wa.me/542204822549,,"Cervantes 2289, B1722 Merlo, Provincia de Buenos Aires",,,,GoogleMaps,https://www.google.com/maps/place/Distribuidora+Ruta+200/data=!4m7!3m6!1s0x95bc955afe1bca95:0xa146e410593cc4f!8m2!3d-34.6693609!4d-58.7462735!16s%2Fg%2F11gfk0db16!19sChIJlcob_lqVvJURT8yTBUFuFAo?authuser=0&hl=es-419&rclk=1
La Argentina II Distribuidora De Bebidas,,,,,,,"Colectora Este Ramal Escobar, B1610 Ricardo Rojas, Provincia de Buenos Aires",,,,GoogleMaps,https://www.google.com/maps/place/La+Argentina+II+Distribuidora+De+Bebidas/data=!4m7!3m6!1s0x95bca3a9f886f1a1:0xfe8d2d40d0545d88!8m2!3d-34.4643297!4d-58.6858395!16s%2Fg%2F11y4369swf!19sChIJofGG-KmjvJURiF1U0EAtjf4?authuser=0&hl=es-419&rclk=1
Distribuidora Argentina,Comercio,02346 42-1295,+542346421295,SI,https://wa.me/542346421295,,"9 de Julio 387, Chivilcoy, Provincia de Buenos Aires",,,,GoogleMaps,https://www.google.com/maps/place/Distribuidora+Argentina/data=!4m7!3m6!1s0x95bebab4b672f271:0xb2e8e2b9c77940d8!8m2!3d-34.892585!4d-60.0261363!16s%2Fg%2F1v1tp8ly!19sChIJcfJytrS6vpUR2EB5x7ni6LI?authuser=0&hl=es-419&rclk=1
Sexshop Mayorista / Sex Shop Argentino,Comercio,011 15-4399-7128,+54111543997128,NO,,,"Martínez Rosas 1092, C1414 Cdad. Autónoma de Buenos Aires",,https://sexshop-mayorista.com.ar/,,GoogleMaps,https://www.google.com/maps/place/Sexshop+Mayorista+%2F+Sex+Shop+Argentino/data=!4m7!3m6!1s0x95bccb95a1f4bb33:0xb240bae62d82cee5!8m2!3d-34.5989251!4d-58.4497386!16s%2Fg%2F11rkd9ctw5!19sChIJM7v0oZXLvJUR5c6CLea6QLI?authuser=0&hl=es-419&rclk=1
"Distribuidora Mayorista ""Camila""",Mayorista,011 3129-3392,+541131293392,SI,https://wa.me/541131293392,,"Pedro Pravaz 988, B1804 Ezeiza, Provincia de Buenos Aires",,https://linktr.ee/distribuidoracamila,,GoogleMaps,https://www.google.com/maps/place/Distribuidora+Mayorista+%22Camila%22/data=!4m7!3m6!1s0x95bcd1d269bbd3df:0x3e770c6f705250!8m2!3d-34.8449172!4d-58.523546!16s%2Fg%2F11jr6ghnvs!19sChIJ39O7adLRvJURUFJwbwx3PgA?authuser=0&hl=es-419&rclk=1
DISTRIBUIDORA NICJU,Servicio de transporte de mercancías,011 4488-8088,+541144888088,SI,https://wa.me/541144888088,,"Av. Díaz Vélez 1298 1702, B1702 Ciudadela, Provincia de Buenos Aires",,http://www.nicju.com.ar/,,GoogleMaps,https://www.google.com/maps/place/DISTRIBUIDORA+NICJU/data=!4m7!3m6!1s0x95bcc867dcbe0f39:0x4862d55af5866bbd!8m2!3d-34.6515367!4d-58.5329391!16s%2Fg%2F1tgpzcyh!19sChIJOQ--3GfIvJURvWuG9VrVYkg?authuser=0&hl=es-419&rclk=1
Nicolas Distribuidora,Quesería,,,,,,"Av. San Martín 3134, B1824EKU Gran Buenos Aires, Provincia de Buenos Aires",,,,GoogleMaps,https://www.google.com/maps/place/Nicolas+Distribuidora/data=!4m7!3m6!1s0x95bcccff8da3964d:0xa429438921f47874!8m2!3d-34.703773!4d-58.414779!16s%2Fg%2F1thzq2fp!19sChIJTZajjf_MvJURdHj0IYlDKaQ?authuser=0&hl=es-419&rclk=1
Gema Distribuidora de Productos Naturales,Tienda de alimentos naturales,011 2263-2918,+541122632918,SI,https://wa.me/541122632918,,"Camino de Cintura 598, B1838 Luis Guillon, Provincia de Buenos Aires",,https://www.gemadistribuidora.com.ar/categoria-producto/cereales/,,GoogleMaps,https://www.google.com/maps/place/Gema+Distribuidora+de+Productos+Naturales/data=!4m7!3m6!1s0x95bcd3d8d9c02a31:0xda573bf343cd157e!8m2!3d-34.7948658!4d-58.4474602!16s%2Fg%2F11qkq39krj!19sChIJMSrA2djTvJURfhXNQ_M7V9o?authuser=0&hl=es-419&rclk=1
Taranto San Juan Distribuidora,Fabricante de repuestos para automóviles,011 4135-9000,+541141359000,SI,https://wa.me/541141359000,,"Mario Bravo 641, B1868BMM Piñeyro, Provincia de Buenos Aires",,http://www.taranto.com.ar/,,GoogleMaps,https://www.google.com/maps/place/Taranto+San+Juan+Distribuidora/data=!4m7!3m6!1s0x95bcccbc1f39796d:0x6037a54b936c4054!8m2!3d-34.674193!4d-58.3898036!16s%2Fg%2F1tg_mtsb!19sChIJbXk5H7zMvJURVEBsk0ulN2A?authuser=0&hl=es-419&rclk=1
Quilmes Distribuidora Regional S.R.L.,Distribuidor de cerveza,03489 44-1570,+543489441570,SI,https://wa.me/543489441570,,"Colectora Nte. 1051, B1663 San Miguel, Provincia de Buenos Aires",,,,GoogleMaps,https://www.google.com/maps/place/Quilmes+Distribuidora+Regional+S.R.L./data=!4m7!3m6!1s0x95bb71929c74b59b:0xc3627aa1819a6da7!8m2!3d-34.1873915!4d-58.9454394!16s%2Fg%2F11byl4m5nn!19sChIJm7V0nJJxu5URp22agaF6YsM?authuser=0&hl=es-419&rclk=1
Distribuidora Visnu,Supermercado,011 3694-6516,+541136946516,SI,https://wa.me/541136946516,,"Sabatte 2244, B7245 Roque Pérez, Provincia de Buenos Aires",,http://www.distribuidoravisnu.com.ar/,,GoogleMaps,https://www.google.com/maps/place/Distribuidora+Visnu/data=!4m7!3m6!1s0x95bcc76a37ec05d5:0x4fbf5af958b8f4f!8m2!3d-35.3909662!4d-59.3386853!16s%2Fg%2F11g4ccp0zc!19sChIJ1QXsN2rHvJURT4-Lla_1-wQ?authuser=0&hl=es-419&rclk=1
VC Distribuidora de Productos Arcor,Servicio de distribución,011 3767-0285,+541137670285,SI,https://wa.me/541137670285,,"Nicasio Oroño 1426, C1416BZH Cdad. Autónoma de Buenos Aires",,http://vcdistribuidora.com.ar/,,GoogleMaps,https://www.google.com/maps/place/VC+Distribuidora+de+Productos+Arcor/data=!4m7!3m6!1s0x95bcca0348d8d58b:0xcef1edc547d6b85!8m2!3d-34.6090774!4d-58.4584849!16s%2Fg%2F11b6_n0bvc!19sChIJi9XYSAPKvJURhWt9VNwe7ww?authuser=0&hl=es-419&rclk=1
Distribuidora Santa Rosa,Proveedor de materiales de construcción,011 4469-2145,+541144692145,SI,https://wa.me/541144692145,,"Argentina 1704, B1704 Ramos Mejía, Provincia de Buenos Aires",,,,GoogleMaps,https://www.google.com/maps/place/Distribuidora+Santa+Rosa/data=!4m7!3m6!1s0x95bcc80ab64a4ab3:0x3f58fe4c0461b79b!8m2!3d-34.660771!4d-58.56637!16s%2Fg%2F11f06l13vk!19sChIJs0pKtgrIvJURm7dhBEz-WD8?authuser=0&hl=es-419&rclk=1
Db Distribuidora Argentina SA,Establecimiento de depósito y venta,011 4838-0383,+541148380383,SI,https://wa.me/541148380383,,"Francisco N. de Laprida 5052, B1603ABN Villa Martelli, Provincia de Buenos Aires",,http://dbdistribuidora.com/,,GoogleMaps,https://www.google.com/maps/place/Db+Distribuidora+Argentina+SA/data=!4m7!3m6!1s0x95bcb7231d57b545:0x40eb8f7d0c1c2583!8m2!3d-34.554181!4d-58.517844!16s%2Fg%2F11bx2ld0jw!19sChIJRbVXHSO3vJURgyUcDH2P60A?authuser=0&hl=es-419&rclk=1
Distribuidora Metropolitana,Empresa de transporte por camión,,,,,,"Av. Eva Perón 6980, C1439 Cdad. Autónoma de Buenos Aires",,http://www.dmetrop.com.ar/,,GoogleMaps,https://www.google.com/maps/place/Distribuidora+Metropolitana/data=!4m7!3m6!1s0x95bcc917df8f93f5:0xf52f0245e76d9dfc!8m2!3d-34.6713377!4d-58.4968458!16s%2Fg%2F1tks7hfq!19sChIJ9ZOP3xfJvJUR_J1t50UCL_U?authuser=0&hl=es-419&rclk=1
Dis-Ar Distribuidora Argentina,Servicio de distribución,0341 642-1693,+543416421693,SI,https://wa.me/543416421693,,"3 de Febrero 1721 2° Piso, S2000BLI Rosario, Santa Fe",,,,GoogleMaps,https://www.google.com/maps/place/Dis-Ar+Distribuidora+Argentina/data=!4m7!3m6!1s0x95b7ab14826ccd87:0xb9d710a541fb8b35!8m2!3d-32.9512854!4d-60.648457!16s%2Fg%2F1tcx2q7h!19sChIJh81sghSrt5URNYv7QaUQ17k?authuser=0&hl=es-419&rclk=1
Distribuidora La Argentina,Tienda de bebidas alcohólicas,011 2790-2631,+541127902631,SI,https://wa.me/541127902631,,"Av. Constituyentes 3321, B1617 Gral. Pacheco, Provincia de Buenos Aires",,,,GoogleMaps,https://www.google.com/maps/place/Distribuidora+La+Argentina/data=!4m7!3m6!1s0x95bca300de65c785:0x69ff2bfe49db109c!8m2!3d-34.4469655!4d-58.6731564!16s%2Fg%2F11hntgt77_!19sChIJhcdl3gCjvJURnBDbSf4r_2k?authuser=0&hl=es-419&rclk=1
Distribuidora Esteban Echeverria,Servicio de distribución,011 2150-1050,+541121501050,SI,https://wa.me/541121501050,,"Luis de Sarro 55, B1842 Luis Guillon, Provincia de Buenos Aires",,http://www.distribuidoraestebanecheverria.com.ar/,,GoogleMaps,https://www.google.com/maps/place/Distribuidora+Esteban+Echeverria/data=!4m7!3m6!1s0x95bcd3d0ca3be103:0xf3618846921607b3!8m2!3d-34.8069736!4d-58.4575486!16s%2Fg%2F11bbrjmn50!19sChIJA-E7ytDTvJURswcWkkaIYfM?authuser=0&hl=es-419&rclk=1
Distribuidora AR,Mayorista,02241 60-6325,+542241606325,SI,https://wa.me/542241606325,,"Calle Pública 225, 7130 Chascomús, Provincia de Buenos Aires",,https://www.distribuidora.com.ar/,,GoogleMaps,https://www.google.com/maps/place/Distribuidora+AR/data=!4m7!3m6!1s0x9598736c0aa97b95:0x99926fbdff50302f!8m2!3d-35.5413231!4d-57.9864966!16s%2Fg%2F11ybwchjfp!19sChIJlXupCmxzmJURLzBQ_71vkpk?authuser=0&hl=es-419&rclk=1
Todo Mayorista Argentina,Mayorista textil,011 2619-5606,+541126195606,SI,https://wa.me/541126195606,,"BOLIVIA 1616, Est. Plurinacional de Bolivia 1618, 1417 Buenos Aires",,http://www.todomayoristaargentina.com/,,GoogleMaps,https://www.google.com/maps/place/Todo+Mayorista+Argentina/data=!4m7!3m6!1s0x95bccdf42609ae0b:0xedcf170f9130e77f!8m2!3d-34.6132097!4d-58.4747285!16s%2Fg%2F11qh4wv921!19sChIJC64JJvTNvJURf-cwkQ8Xz-0?authuser=0&hl=es-419&rclk=1
"Distribuidora Mayorista ""Walter""",Mayorista,011 15-5856-8672,+54111558568672,NO,,,"Av. Conquista del Desierto 1105, Ezeiza (Ruta 205, Gral. Winter y, Ezeiza, Provincia de Buenos Aires",,,,GoogleMaps,https://www.google.com/maps/place/Distribuidora+Mayorista+%22Walter%22/data=!4m7!3m6!1s0x95bcd7f43855795f:0xe3f8e369cea1c8d6!8m2!3d-34.8597366!4d-58.5292725!16s%2Fg%2F11hdngjpl2!19sChIJX3lVOPTXvJUR1sihzmnj-OM?authuser=0&hl=es-419&rclk=1
Distribuidora eva,Mayorista,02226 68-1534,+542226681534,SI,https://wa.me/542226681534,,"Independencia, Antonio Díaz y, 1814 Cañuelas, Provincia de Buenos Aires",,,,GoogleMaps,https://www.google.com/maps/place/Distribuidora+eva/data=!4m7!3m6!1s0x95bd1f6a7a209967:0x9712c690d888344d!8m2!3d-35.0455611!4d-58.7670491!16s%2Fg%2F11w9yvpbcs!19sChIJZ5kgemofvZURTTSI2JDGEpc?authuser=0&hl=es-419&rclk=1
Mayorista de bebidas,Centro comercial,011 4948-3975,+541149483975,SI,https://wa.me/541149483975,,"Franklin 6, C1405 Cdad. Autónoma de Buenos Aires",,,,GoogleMaps,https://www.google.com/maps/place/Mayorista+de+bebidas/data=!4m7!3m6!1s0x95bccb9dea454de1:0x44526a0480de8a0f!8m2!3d-34.6050623!4d-58.4316379!16s%2Fg%2F11fn622n3n!19sChIJ4U1F6p3LvJURD4regARqUkQ?authuser=0&hl=es-419&rclk=1
DELITE | Distribuidora de alimentos,Distribuidor de comestibles,011 6232-7632,+541162327632,SI,https://wa.me/541162327632,,"Dip. M Pedrera 1395, B1823 Lanús, Provincia de Buenos Aires",,http://www.delite.com.ar/,,GoogleMaps,https://www.google.com/maps/place/DELITE+%7C+Distribuidora+de+alimentos/data=!4m7!3m6!1s0x95bccced76c80021:0xb943b6967d81b46!8m2!3d-34.6868512!4d-58.4048523!16s%2Fg%2F11hyl5636c!19sChIJIQDIdu3MvJURRhvYZ2k7lAs?authuser=0&hl=es-419&rclk=1
Artistica Palermo (Distribuidora AP),Mayorista,011 5620-1492,+541156201492,SI,https://wa.me/541156201492,,"Gral. José Gervasio Artigas 1325, C1416 Cdad. Autónoma de Buenos Aires",,http://www.artisticapalermo.com.ar/,,GoogleMaps,https://www.google.com/maps/place/Artistica+Palermo+%28Distribuidora+AP%29/data=!4m7!3m6!1s0x95bcc94fe8e52f1f:0x2c79af24fc50fccc!8m2!3d-34.6153624!4d-58.4708893!16s%2Fg%2F11s887jkcy!19sChIJHy_l6E_JvJURzPxQ_CSveSw?authuser=0&hl=es-419&rclk=1
Compañia Distribuidora Argentina Sa,,,,,,,"Sta. Rosa 2250 1, B1714FAB Ituzaingó, Provincia de Buenos Aires",,,,GoogleMaps,https://www.google.com/maps/place/Compa%C3%B1ia+Distribuidora+Argentina+Sa/data=!4m7!3m6!1s0x95bcbf37d20d110b:0x9e9b76e7da53321c!8m2!3d-34.635144!4d-58.654585!16s%2Fg%2F11v6cs1pxr!19sChIJCxEN0je_vJURHDJT2ud2m54?authuser=0&hl=es-419&rclk=1
Distribuidora Emporio Gastronómico,Tienda de comestibles mayorista,011 7103-3127,+541171033127,SI,https://wa.me/541171033127,,"C. 893 4225, B1881 San Francisco Solano, Provincia de Buenos Aires",,https://www.instagram.com/emporiogastronomico.dist/,,GoogleMaps,https://www.google.com/maps/place/Distribuidora+Emporio+Gastron%C3%B3mico/data=!4m7!3m6!1s0x95a32c69f07e3e93:0x15d6859852f5c0b3!8m2!3d-34.7770078!4d-58.3092476!16s%2Fg%2F1tm89m92!19sChIJkz5-8Gkso5URs8D1UpiF1hU?authuser=0&hl=es-419&rclk=1
Argentina Distribuciones,Supermercado,03525 46-0099,+543525460099,SI,https://wa.me/543525460099,,"Av. de los Fundadores, X5223 Córdoba",,http://www.argentinadist.com/,,GoogleMaps,https://www.google.com/maps/place/Argentina+Distribuciones/data=!4m7!3m6!1s0x94326215e7726335:0x4eb4e8ddb70244d6!8m2!3d-31.0267733!4d-64.0714897!16s%2Fg%2F11f3_4tsr0!19sChIJNWNy5xViMpQR1kQCt93otE4?authuser=0&hl=es-419&rclk=1
