nombre,categoria_maps,telefono,telefono_norm,posible_celular,whatsapp_link,email,ciudad,calificacion,sitio_web,ecommerce,fuente,url_listing
Distribuidora Gastronómica El Almacén,Mayorista,011 5980-6679,+541159806679,SI,https://wa.me/541159806679,distribuidoraelalmacen@gmail.com,"Cadete Carlos Larguia 3747, B1672 ATA, Cdad. Autónoma de Buenos Aires",,http://www.distribuidoraelalmacen.com.ar/,NINGUNO,GoogleMaps,https://www.google.com/maps/place/Distribuidora+Gastron%C3%B3mica+El+Almac%C3%A9n/data=!4m7!3m6!1s0x95bcb7d788b9444b:0x5192490f789353cf!8m2!3d-34.5896055!4d-58.5231736!16s%2Fg%2F11h8fmzh9c!19sChIJS0S5iNe3vJURz1OTeA9JklE?authuser=0&hl=es-419&rclk=1
CGA MANA DISTRIBUIDORA MAYORISTA,Proveedor mayorista de alimentos,011 4584-0952,+541145840952,SI,https://wa.me/541145840952,ventas@cgamana.com.ar,"Terrero 1766, C1416 Cdad. Autónoma de Buenos Aires",,http://www.cgamana.com.ar/,NINGUNO,GoogleMaps,https://www.google.com/maps/place/CGA+MANA+DISTRIBUIDORA+MAYORISTA/data=!4m7!3m6!1s0x95bcc9f919627b23:0xf5d0cab8d7667a0c!8m2!3d-34.608702!4d-58.466262!16s%2Fg%2F11b6s_xg63!19sChIJI3tiGfnJvJURDHpm17jK0PU?authuser=0&hl=es-419&rclk=1
"Rodriguez Distribuidora, Congelados",Proveedor mayorista de alimentos,011 6960-9605,+541169609605,SI,https://wa.me/541169609605,info@rodriguezdistribuidora.com.ar,"Valle Grande 1820, B1602 Florida, Provincia de Buenos Aires",,http://rodriguezdistribuidora.com.ar/,NINGUNO,GoogleMaps,"https://www.google.com/maps/place/Rodriguez+Distribuidora,+Congelados/data=!4m7!3m6!1s0x95bcb12c6a0fae1d:0x7353a8f623a44dca!8m2!3d-34.5286882!4d-58.5016111!16s%2Fg%2F1tf2tdhd!19sChIJHa4PaiyxvJURyk2kI_aoU3M?authuser=0&hl=es-419&rclk=1"
DISTRIMAS Distribuidora de Alimentos,Molino de harina,011 6815-2694,+541168152694,SI,https://wa.me/541168152694,,"San Juan 1100, B1619 Garin, Provincia de Buenos Aires",,https://distrimas-distribuidora-de-alimentos.negocio.site/?utm_source=gmb&utm_medium=referral,ERROR,GoogleMaps,https://www.google.com/maps/place/DISTRIMAS+Distribuidora+de+Alimentos/data=!4m7!3m6!1s0x95bc9f5a660fe38b:0xdaa10737f933261d!8m2!3d-34.4087192!4d-58.7322466!16s%2Fg%2F11v5g0f9xz!19sChIJi-MPZlqfvJURHSYz-TcHodo?authuser=0&hl=es-419&rclk=1
Andina Distribuidora,Proveedor mayorista de alimentos,011 4762-9583,+541147629583,SI,https://wa.me/541147629583,,"Carlos Calvo 2377, B1605CZE Munro, Provincia de Buenos Aires",,https://www.facebook.com/DisAndina/,ERROR,GoogleMaps,https://www.google.com/maps/place/Andina+Distribuidora/data=!4m7!3m6!1s0x95bcb0c989ef78cd:0x33fd0b566ba908a7!8m2!3d-34.535046!4d-58.5296114!16s%2Fg%2F1hc7wtqhx!19sChIJzXjvicmwvJURpwipa1YL_TM?authuser=0&hl=es-419&rclk=1
Distribuidora Pueblo Chico / Los Tres Algarrobos s.a. / Harina Y Materia Prima. Alimentos,Proveedor mayorista de alimentos,011 4469-3011,+541144693011,SI,https://wa.me/541144693011,,"Av. Pres. Perón 778, B1707 Villa Sarmiento, Provincia de Buenos Aires",,,(sin web),GoogleMaps,https://www.google.com/maps/place/Distribuidora+Pueblo+Chico+%2F+Los+Tres+Algarrobos+s.a.+%2F+Harina+Y+Materia+Prima.+Alimentos/data=!4m7!3m6!1s0x95bcc7f35f0dd323:0x4550389007f914bf!8m2!3d-34.6383781!4d-58.5766724!16s%2Fg%2F1tdvqy8w!19sChIJI9MNX_PHvJURvxT5B5A4UEU?authuser=0&hl=es-419&rclk=1
"Distribuidora El Saleciano, Clamor",Mayorista,011 6416-4650,+541164164650,SI,https://wa.me/541164164650,info@saleciano.com.ar,"Gdor. Ugarte 3650, B1826FEJ Remedios de Escalada, Provincia de Buenos Aires",,https://www.saleciano.com.ar/,NINGUNO,GoogleMaps,"https://www.google.com/maps/place/Distribuidora+El+Saleciano,+Clamor/data=!4m7!3m6!1s0x95bccd092a880197:0x10486c5cbada0ca8!8m2!3d-34.718258!4d-58.411378!16s%2Fg%2F1hc1h64wf!19sChIJlwGIKgnNvJURqAzaulxsSBA?authuser=0&hl=es-419&rclk=1"
Distri-Sur,Distribuidor de comestibles,011 4270-0305,+541142700305,SI,https://wa.me/541142700305,,"vii Parque Industrial y Tecnologico de Quilmes, Camino General Belgrano km 10.500 parcela 25, B1876 Bernal Oeste, Provincia de Buenos Aires",,https://distrisuronline.com/,OTRO,GoogleMaps,https://www.google.com/maps/place/Distri-Sur/data=!4m7!3m6!1s0x95a32ea7e1b1a493:0x88c858ee4e9a3323!8m2!3d-34.7366711!4d-58.3375172!16s%2Fg%2F1tdy11jf!19sChIJk6Sx4acuo5URIzOaTu5YyIg?authuser=0&hl=es-419&rclk=1
LATINA COLD FOODS S.A. - Distribuidor de PRODUCTOS CONGELADOS,Servicio de distribución,011 5069-8736,+541150698736,SI,https://wa.me/541150698736,,"ADP, Berutti 6390, B1657 Cdad. Jardín El Libertador, Provincia de Buenos Aires",,https://www.latinacoldfoods.com.ar/,NINGUNO,GoogleMaps,https://www.google.com/maps/place/LATINA+COLD+FOODS+S.A.+-+Distribuidor+de+PRODUCTOS+CONGELADOS/data=!4m7!3m6!1s0x95bcb793fe6128c7:0xf414e3be4b72ffb9!8m2!3d-34.5562551!4d-58.588619!16s%2Fg%2F1thzvztc!19sChIJxyhh_pO3vJURuf9yS77jFPQ?authuser=0&hl=es-419&rclk=1
DISTRIBUIDORA de ALIMENTOS,Tienda de alimentación,,,,,,X5012 Córdoba,,,(sin web),GoogleMaps,https://www.google.com/maps/place/DISTRIBUIDORA+de+ALIMENTOS/data=!4m7!3m6!1s0x9432981875268809:0x320034fc71df0fc0!8m2!3d-31.3856405!4d-64.1581171!16s%2Fg%2F11x080j4mc!19sChIJCYgmdRiYMpQRwA_fcfw0ADI?authuser=0&hl=es-419&rclk=1
Bufano Alimentos,Distribuidor de comestibles,011 5736-4135,+541157364135,SI,https://wa.me/541157364135,bufanoalimentos@hotmail.com,"Lavalle 1527, C1027 Cdad. Autónoma de Buenos Aires",,https://www.lacteosbufano.com.ar/,NINGUNO,GoogleMaps,https://www.google.com/maps/place/Bufano+Alimentos/data=!4m7!3m6!1s0x95bcc9fb5570d52f:0xb97604654974169a!8m2!3d-34.602679!4d-58.3883707!16s%2Fg%2F1hc48z5bd!19sChIJL9VwVfvJvJURmhZ0SWUEdrk?authuser=0&hl=es-419&rclk=1
Distribuidora MDM,Distribuidor de comestibles,0351 15-737-0448,+54351157370448,NO,https://wa.me/3517370448,contacto@mayoristamdm.com,"San Martín 628, X5000 Córdoba",,https://mayoristamdm.com/,NINGUNO,GoogleMaps,https://www.google.com/maps/place/Distribuidora+MDM/data=!4m7!3m6!1s0x9432993cf27db281:0xac4ab19e2e92d465!8m2!3d-31.4088243!4d-64.180884!16s%2Fg%2F11std_qjbd!19sChIJgbJ98jyZMpQRZdSSLp6xSqw?authuser=0&hl=es-419&rclk=1
Distribuidora Lentey,Tienda de alimentación,011 5635-3243,+541156353243,SI,https://wa.me/541156353243,,"Gral. Gregorio Aráoz de Lamadrid 885, C1166AAO Cdad. Autónoma de Buenos Aires",,,(sin web),GoogleMaps,https://www.google.com/maps/place/Distribuidora+Lentey/data=!4m7!3m6!1s0x95bccafde41c4a67:0x1aeccc33a6bfe4ba!8m2!3d-34.6393598!4d-58.365072!16s%2Fg%2F11dxk_sx12!19sChIJZ0oc5P3KvJURuuS_pjPM7Bo?authuser=0&hl=es-419&rclk=1
Cordoba Food Distribuidora de Alimentos,Proveedor mayorista de alimentos,0351 230-3067,+543512303067,SI,https://wa.me/543512303067,tu@email.com,"Sta. Ana 1625, X5010 Córdoba",,http://www.cordobafood.com.ar/,NINGUNO,GoogleMaps,https://www.google.com/maps/place/Cordoba+Food+Distribuidora+de+Alimentos/data=!4m7!3m6!1s0x9432991815bdad43:0xd418b2bc680bfb4c!8m2!3d-31.4170548!4d-64.2081333!16s%2Fg%2F11yn1j9kvg!19sChIJQ629FRiZMpQRTPsLaLyyGNQ?authuser=0&hl=es-419&rclk=1
Distribuidora Pampa srl,Tienda de comestibles mayorista,011 4716-4637,+541147164637,SI,https://wa.me/541147164637,,"Santiago Zanella 2674, B1678 Caseros, Provincia de Buenos Aires",,https://pedido.shop/distribuidorapampa/5491161613393,NINGUNO,GoogleMaps,https://www.google.com/maps/place/Distribuidora+Pampa+srl/data=!4m7!3m6!1s0x95bcb7eeda1061d3:0x461e8ca7a7e67b4!8m2!3d-34.6084337!4d-58.5538077!16s%2Fg%2F11jn2j5y6m!19sChIJ02EQ2u63vJURtGd-esroYQQ?authuser=0&hl=es-419&rclk=1
Distribuidora El Galponcito,Tienda de comestibles mayorista,011 6267-6729,+541162676729,SI,https://wa.me/541162676729,,"CLM La Tablada Buenos Aires AR, Mariano Moreno 5208, B1751",,,(sin web),GoogleMaps,https://www.google.com/maps/place/Distribuidora+El+Galponcito/data=!4m7!3m6!1s0x95bcc954edce7d95:0xf9cc538f2c68740b!8m2!3d-34.684451!4d-58.5192525!16s%2Fg%2F11gn206hd9!19sChIJlX3O7VTJvJURC3RoLI9TzPk?authuser=0&hl=es-419&rclk=1
Mind | Distribuidora mayorista de alimentos,Agregar categoría,011 3016-3026,+541130163026,SI,https://wa.me/541130163026,info@distribuidoramind.com,"Bartolomé Mitre 5371, B1650 Villa Lynch, Provincia de Buenos Aires",,https://distribuidoramind.com/,WooCommerce,GoogleMaps,https://www.google.com/maps/place/Mind+%7C+Distribuidora+mayorista+de+alimentos/data=!4m7!3m6!1s0x95bcb7817f0941a3:0x875ca5bcc0f70d35!8m2!3d-34.5872056!4d-58.5508361!16s%2Fg%2F11xgy5tlmz!19sChIJo0EJf4G3vJURNQ33wLylXIc?authuser=0&hl=es-419&rclk=1
Naccato - Productos Gourmet | Importadora y distribuidora,Tienda de comestibles mayorista,0810-220-0145,+548102200145,SI,https://wa.me/548102200145,ventas@naccato.com.ar,"Bermúdez 1630, C1407CUD Cdad. Autónoma de Buenos Aires",,http://www.naccato.com/,NINGUNO,GoogleMaps,https://www.google.com/maps/place/Naccato+-+Productos+Gourmet+%7C+Importadora+y+distribuidora/data=!4m7!3m6!1s0x95bcca07bb2a22e5:0xffdbf404d0b224fd!8m2!3d-34.6229986!4d-58.5050034!16s%2Fg%2F11fy976y3x!19sChIJ5SIquwfKvJUR_SSy0AT02_8?authuser=0&hl=es-419&rclk=1
Distribuidora Real,Tienda de alimentos naturales,0341 670-5980,+543416705980,SI,https://wa.me/543416705980,distribuidora-real@hotmail.com,"Reconquista 1895, S2013BYC Rosario, Santa Fe",,http://www.distribuidorareal.com.ar/,WooCommerce,GoogleMaps,https://www.google.com/maps/place/Distribuidora+Real/data=!4m7!3m6!1s0x95b653431420dd13:0xa97727d552a09ebd!8m2!3d-32.9184485!4d-60.6881926!16s%2Fg%2F11cmpbl_lx!19sChIJE90gFENTtpURvZ6gUtUnd6k?authuser=0&hl=es-419&rclk=1
DELITE | Distribuidora de alimentos,Distribuidor de comestibles,011 6232-7632,+541162327632,SI,https://wa.me/541162327632,deliteredes@gmail.com,"Dip. M Pedrera 1395, B1823 Lanús, Provincia de Buenos Aires",,http://www.delite.com.ar/,NINGUNO,GoogleMaps,https://www.google.com/maps/place/DELITE+%7C+Distribuidora+de+alimentos/data=!4m7!3m6!1s0x95bccced76c80021:0xb943b6967d81b46!8m2!3d-34.6868512!4d-58.4048523!16s%2Fg%2F11hyl5636c!19sChIJIQDIdu3MvJURRhvYZ2k7lAs?authuser=0&hl=es-419&rclk=1
El Distribuidor Gastronómico,Tienda de alimentación,011 2275-9749,+541122759749,SI,https://wa.me/541122759749,,"Bolivia 1048, B1604AOD Florida Oeste, Provincia de Buenos Aires",,https://www.eldistribuidorgastronomico.com.ar/,ERROR,GoogleMaps,https://www.google.com/maps/place/El+Distribuidor+Gastron%C3%B3mico/data=!4m7!3m6!1s0x95bcb73921b32e31:0x17c62f557e5a1ac2!8m2!3d-34.5419257!4d-58.5100015!16s%2Fg%2F11h5kz7p79!19sChIJMS6zITm3vJURwhpaflUvxhc?authuser=0&hl=es-419&rclk=1
Aprea Distribuidora,Agregar sitio web,011 4208-9427,+541142089427,SI,https://wa.me/541142089427,,"Beguerestain 2270, B1870 Piñeyro, Provincia de Buenos Aires",,,(sin web),GoogleMaps,https://www.google.com/maps/place/Aprea+Distribuidora/data=!4m7!3m6!1s0x95bcccc6bcff50d9:0x8d87bd9e9234a4a9!8m2!3d-34.6831116!4d-58.3873682!16s%2Fg%2F1tj7xk_v!19sChIJ2VD_vMbMvJURqaQ0kp69h40?authuser=0&hl=es-419&rclk=1
Distribuidora La Argentina,Panadería mayorista,011 4297-8464,+541142978464,SI,https://wa.me/541142978464,,"Av. Monteverde 2100, B1852 Burzaco, Provincia de Buenos Aires",,,(sin web),GoogleMaps,https://www.google.com/maps/place/Distribuidora+La+Argentina/data=!4m7!3m6!1s0x95a32b4dc990a9d3:0x41ca1198cf581c72!8m2!3d-34.8243786!4d-58.3672783!16s%2Fg%2F11c528zzj7!19sChIJ06mQyU0ro5URchxYz5gRykE?authuser=0&hl=es-419&rclk=1
Distribuidora El Criollo,Mayorista,011 4114-5000,+541141145000,SI,https://wa.me/541141145000,info@elcriollosrl.com,"Caracas 2720, C1416 Cdad. Autónoma de Buenos Aires",,http://www.distribuidoraelcriollo.com/,NINGUNO,GoogleMaps,https://www.google.com/maps/place/Distribuidora+El+Criollo/data=!4m7!3m6!1s0x95bcb61c4416d541:0x4ab074d0544ba644!8m2!3d-34.6012194!4d-58.4790182!16s%2Fg%2F11bbrpjnzr!19sChIJQdUWRBy2vJURRKZLVNB0sEo?authuser=0&hl=es-419&rclk=1
DISTRIBUIDORA DEL CAMPO ALIMENTOS,Mayorista,011 2675-2601,+541126752601,SI,https://wa.me/541126752601,,"Salvigny 1553, C1437JGI C1437JGI, Cdad. Autónoma de Buenos Aires",,http://www.delcampodistribuidora.com/,NINGUNO,GoogleMaps,https://www.google.com/maps/place/DISTRIBUIDORA+DEL+CAMPO+ALIMENTOS/data=!4m7!3m6!1s0x95bccb5d734b635d:0x5aefa32891d9d8f9!8m2!3d-34.6442807!4d-58.4330142!16s%2Fg%2F11q94vsbsz!19sChIJXWNLc13LvJUR-djZkSij71o?authuser=0&hl=es-419&rclk=1
Appiano Mayorista de Alimentos,Mayorista,0341 686-5948,+543416865948,SI,https://wa.me/543416865948,,"Av. San José de Calasanz 8955, S2000 Rosario, Santa Fe",,http://appianodistribuidora.com.ar/,ERROR,GoogleMaps,https://www.google.com/maps/place/Appiano+Mayorista+de+Alimentos/data=!4m7!3m6!1s0x95b6532f46039227:0x1427242e309ce5fe!8m2!3d-32.9406572!4d-60.7524207!16s%2Fg%2F11b6v1rsxf!19sChIJJ5IDRi9TtpUR_uWcMC4kJxQ?authuser=0&hl=es-419&rclk=1
Alimentos de Argentina Disalar SRL,Servicio de distribución,011 4443-3233,+541144433233,SI,https://wa.me/541144433233,,"EFL Haedo AR, Juan B. Justo 544, B1706",,,(sin web),GoogleMaps,https://www.google.com/maps/place/Alimentos+de+Argentina+Disalar+SRL/data=!4m7!3m6!1s0x95bcc78097c924cd:0xb0072e0e99edf783!8m2!3d-34.639678!4d-58.5963941!16s%2Fg%2F1tj8bm39!19sChIJzSTJl4DHvJURg_ftmQ4uB7A?authuser=0&hl=es-419&rclk=1
Mayorista De Bebidas El Camino,Tienda de bebidas alcohólicas,011 6231-7839,+541162317839,SI,https://wa.me/541162317839,,"FCU, Pres. Juan Domingo Perón 3043, B1821 Villa Centenario, Provincia de Buenos Aires",,,(sin web),GoogleMaps,https://www.google.com/maps/place/Mayorista+De+Bebidas+El+Camino/data=!4m7!3m6!1s0x95bccd95c68be9b1:0x599547dfd5995cd8!8m2!3d-34.734238!4d-58.4355761!16s%2Fg%2F11f31q6wdn!19sChIJsemLxpXNvJUR2FyZ1d9HlVk?authuser=0&hl=es-419&rclk=1
Distribuidora Natali - Dist de Gaseosas Y Cervezas,Tienda de cerveza,011 3415-0116,+541134150116,SI,https://wa.me/541134150116,,"Av. Brig. Gral. Juan Manuel de Rosas 5670, B1754FWO San Justo, Provincia de Buenos Aires",,,(sin web),GoogleMaps,https://www.google.com/maps/place/Distribuidora+Natali+-+Dist+de+Gaseosas+Y+Cervezas/data=!4m7!3m6!1s0x95bcc615bea792f3:0xf8f6ad07a6af0625!8m2!3d-34.693994!4d-58.5732717!16s%2Fg%2F11bbrktjxx!19sChIJ85KnvhXGvJURJQavpget9vg?authuser=0&hl=es-419&rclk=1
Distri Alsina Distribuidora de Bebidas,Alcoholic beverage wholesaler,011 3814-2592,+541138142592,SI,https://wa.me/541138142592,,"Buenos Aires AR, Av. Tte. Gral. Juan Domingo Perón 3471 Oeste, B1822 Lanús",,,(sin web),GoogleMaps,https://www.google.com/maps/place/Distri+Alsina+Distribuidora+de+Bebidas/data=!4m7!3m6!1s0x95bccc819ed502bb:0xf70a7a2536aeec9b!8m2!3d-34.6684208!4d-58.4128435!16s%2Fg%2F11vkz3bht9!19sChIJuwLVnoHMvJURm-yuNiV6Cvc?authuser=0&hl=es-419&rclk=1
Distribuidora Bari,Tienda de vinos,011 4361-7217,+541143617217,SI,https://wa.me/541143617217,,"Martín Rodríguez 532, C1159 Cdad. Autónoma de Buenos Aires",,https://www.bari.com.ar/,TiendaNube,GoogleMaps,https://www.google.com/maps/place/Distribuidora+Bari/data=!4m7!3m6!1s0x95bccac0f6246053:0x6e36832e53ef03fa!8m2!3d-34.6328818!4d-58.3621134!16s%2Fg%2F1v_w3k1d!19sChIJU2Ak9sDKvJUR-gPvUy6DNm4?authuser=0&hl=es-419&rclk=1
Distribuidora Grand Bourg,Servicio de distribución,02320 43-2019,+542320432019,SI,https://wa.me/542320432019,,"Av. del Sesquicentenario 1341, B1615LSA Gran Buenos Aires, Provincia de Buenos Aires",,,(sin web),GoogleMaps,https://www.google.com/maps/place/Distribuidora+Grand+Bourg/data=!4m7!3m6!1s0x95bca2b8043cb833:0xaa8f9b9e85aca4dd!8m2!3d-34.5025136!4d-58.7149079!16s%2Fg%2F11byp69sgz!19sChIJM7g8BLiivJUR3aSshZ6bj6o?authuser=0&hl=es-419&rclk=1
Bebidas Gaseosas,Supermercado,011 15-3371-0359,+54111533710359,NO,,,"Av. La Plata 409, C1235 Cdad. Autónoma de Buenos Aires",,,(sin web),GoogleMaps,https://www.google.com/maps/place/Bebidas+Gaseosas/data=!4m7!3m6!1s0x95bccbcaf1bd6c0b:0x927bffc602f6496c!8m2!3d-34.6196146!4d-58.4284263!16s%2Fg%2F11frl_pmzt!19sChIJC2y98crLvJURbEn2Asb_e5I?authuser=0&hl=es-419&rclk=1
Distribuidora Rel SRL,Distribuidor de cerveza,011 4652-4064,+541146524064,SI,https://wa.me/541146524064,,"Av. Gral. San Martín 4891, B1766GJJ La Tablada, Provincia de Buenos Aires",,http://www.distribuidorarel.com.ar/,ERROR,GoogleMaps,https://www.google.com/maps/place/Distribuidora+Rel+SRL/data=!4m7!3m6!1s0x95bcc8c34cd3f4e7:0x73d222af3ca1e147!8m2!3d-34.6812683!4d-58.5200885!16s%2Fg%2F1hc89qb_2!19sChIJ5_TTTMPIvJURR-GhPK8i0nM?authuser=0&hl=es-419&rclk=1
